CustomerID,Recency,Frequency,Monetary,Cluster,CustomerSegment
12346,326,1,77183.6,2,Regular Customers
12347,2,7,3125.98,1,High-Value Customers
12348,75,4,1399.8,2,Regular Customers
12349,19,1,1209.49,2,Regular Customers
12350,310,1,174.2,0,At-Risk Customers
12352,36,8,2218.14,1,High-Value Customers
12353,204,1,89.0,0,At-Risk Customers
12354,232,1,585.02,0,At-Risk Customers
12355,214,1,373.0,0,At-Risk Customers
12356,23,3,2250.27,2,Regular Customers
12357,33,1,3960.16,2,Regular Customers
12358,2,2,650.38,2,Regular Customers
12359,58,4,3822.75,2,Regular Customers
12360,52,3,1587.19,2,Regular Customers
12361,287,1,92.4,0,At-Risk Customers
12362,3,10,3263.47,1,High-Value Customers
12363,110,2,242.64000000000001,0,At-Risk Customers
12364,8,4,657.83,2,Regular Customers
12365,291,2,460.48,0,At-Risk Customers
12367,4,1,98.1,2,Regular Customers
12370,51,4,2484.84,2,Regular Customers
12371,45,2,1225.38,2,Regular Customers
12372,72,3,729.7,2,Regular Customers
12373,311,1,255.4,0,At-Risk Customers
12374,25,1,599.12,2,Regular Customers
12375,11,2,315.70000000000005,2,Regular Customers
12377,315,2,944.1800000000001,0,At-Risk Customers
12378,130,1,1643.56,0,At-Risk Customers
12379,82,2,531.64,0,At-Risk Customers
12380,22,4,1950.46,2,Regular Customers
12381,5,5,1343.45,1,High-Value Customers
12383,185,5,1163.98,2,Regular Customers
12384,29,2,481.92,2,Regular Customers
12386,338,2,352.1,0,At-Risk Customers
12388,16,6,2220.58,1,High-Value Customers
12390,80,1,332.63,0,At-Risk Customers
12391,22,1,233.48000000000002,0,At-Risk Customers
12393,72,4,998.5500000000001,2,Regular Customers
12394,64,2,1109.3600000000001,2,Regular Customers
12395,19,12,2207.59,1,High-Value Customers
12397,36,2,1426.02,2,Regular Customers
12398,46,1,862.36,2,Regular Customers
12399,119,4,659.47,2,Regular Customers
12401,303,1,84.3,0,At-Risk Customers
12402,323,1,147.6,0,At-Risk Customers
12403,50,1,427.7,0,At-Risk Customers
12405,149,1,1183.81,0,At-Risk Customers
12406,22,2,2130.02,2,Regular Customers
12407,50,5,1449.49,2,Regular Customers
12408,33,5,1923.81,2,Regular Customers
12409,79,3,8694.55,2,Regular Customers
12410,309,2,472.23,0,At-Risk Customers
12412,75,3,927.21,2,Regular Customers
12413,67,3,637.05,2,Regular Customers
12414,217,3,522.8100000000001,0,At-Risk Customers
12415,24,21,88197.63,1,High-Value Customers
12417,3,9,3119.7,1,High-Value Customers
12418,113,1,450.19,0,At-Risk Customers
12420,64,1,424.03999999999996,0,At-Risk Customers
12421,16,4,751.48,2,Regular Customers
12422,96,3,494.76,2,Regular Customers
12423,1,8,1392.9,1,High-Value Customers
12424,163,2,1483.7,2,Regular Customers
12425,78,1,477.75,0,At-Risk Customers
12426,195,1,370.03,0,At-Risk Customers
12427,22,3,720.5,2,Regular Customers
12428,26,9,5350.87,1,High-Value Customers
12429,9,4,2981.08,1,High-Value Customers
12430,43,1,246.44,0,At-Risk Customers
12431,36,15,5146.12,1,High-Value Customers
12432,43,5,3603.16,2,Regular Customers
12433,1,7,9093.6,1,High-Value Customers
12434,85,2,536.73,0,At-Risk Customers
12435,80,2,4660.49,2,Regular Customers
12436,100,1,332.88,0,At-Risk Customers
12437,2,18,4112.2,1,High-Value Customers
12438,14,2,2186.1,2,Regular Customers
12441,367,1,99.45,0,At-Risk Customers
12442,3,1,135.64,2,Regular Customers
12444,21,5,3646.14,1,High-Value Customers
12445,22,1,103.4,0,At-Risk Customers
12446,58,1,595.04,0,At-Risk Customers
12447,243,1,271.17,0,At-Risk Customers
12448,44,1,407.57,0,At-Risk Customers
12449,22,4,2386.93,2,Regular Customers
12450,156,2,172.92000000000002,0,At-Risk Customers
12451,11,5,6009.97,1,High-Value Customers
12452,17,2,356.67,2,Regular Customers
12453,134,1,359.84000000000003,0,At-Risk Customers
12454,56,1,2774.02,2,Regular Customers
12455,73,6,1615.3700000000001,2,Regular Customers
12456,44,3,2323.62,2,Regular Customers
12457,66,7,1905.04,2,Regular Customers
12458,71,2,788.73,2,Regular Customers
12461,94,2,453.0,0,At-Risk Customers
12462,19,2,695.03,2,Regular Customers
12463,53,4,1010.14,2,Regular Customers
12464,10,8,947.8,1,High-Value Customers
12465,17,2,491.79,2,Regular Customers
12468,188,2,606.64,0,At-Risk Customers
12471,2,30,17721.07,1,High-Value Customers
12472,32,7,3932.69,1,High-Value Customers
12473,29,5,2849.02,2,Regular Customers
12474,17,18,4826.79,1,High-Value Customers
12475,54,1,588.08,0,At-Risk Customers
12476,16,11,5304.84,1,High-Value Customers
12477,23,6,10335.86,1,High-Value Customers
12478,4,1,447.12,2,Regular Customers
12479,11,1,327.6,2,Regular Customers
12480,28,4,2255.1,2,Regular Customers
12481,23,10,4125.68,1,High-Value Customers
12483,17,8,2247.0,1,High-Value Customers
12484,33,6,3120.01,1,High-Value Customers
12488,10,3,899.46,2,Regular Customers
12489,336,1,334.93,0,At-Risk Customers
12490,5,10,3784.59,1,High-Value Customers
12491,39,1,330.95,0,At-Risk Customers
12492,63,2,211.93,0,At-Risk Customers
12493,166,2,260.14,0,At-Risk Customers
12494,16,7,871.41,2,Regular Customers
12497,82,1,561.6,0,At-Risk Customers
12498,21,3,265.05,2,Regular Customers
12500,23,11,2774.46,1,High-Value Customers
12501,337,1,778.37,0,At-Risk Customers
12502,96,5,2993.52,2,Regular Customers
12504,18,2,340.09999999999997,2,Regular Customers
12506,233,1,42.2,0,At-Risk Customers
12507,134,3,1029.8899999999999,2,Regular Customers
12508,26,2,265.36,2,Regular Customers
12509,284,1,110.0,0,At-Risk Customers
12510,143,2,726.47,0,At-Risk Customers
12512,66,2,96.37,0,At-Risk Customers
12513,113,1,381.89,0,At-Risk Customers
12514,267,1,521.78,0,At-Risk Customers
